feedback_id,message,feedback_date,customer_id
1,"Great service! Will use again.",2023-09-18,3
2,"The delivery was fast and accurate.",2023-09-17,8
3,"Excellent customer support.",2023-09-16,1
4,"The product quality exceeded my expectations.",2023-09-15,6
5,"I had a small issue with my order, but it was quickly resolved.",2023-09-14,9
6,"Prompt and professional service.",2023-09-13,2
7,"I'm satisfied with the delivery speed.",2023-09-12,7
8,"The packaging was well done.",2023-09-11,5
9,"The delivery driver was friendly and helpful.",2023-09-10,10
10,"I received my order in perfect condition.",2023-09-09,4
